PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14721419,SI,JR,99.0,100.0,00:00:00,86.0,100.0,00:00:00,75.0,85.0,00:00:00,90.0,100.0,252:56:22,15.0,15.0,00:00:00,98.0,100.0,00:00:00,70.0,70.0,00:00:00,10.0,10.0,00:00:00,47.0,47.0,00:00:00,83.0,85.0,00:00:00,9.0,10.0,00:00:00,97.0,100.0,382:51:44,75.0,75.0,00:00:00,18.0,25.0,00:00:00,88.0,100.0,00:00:00,43.0,50.0,00:00:00,0.0,10.0,00:00:00,86.0,100.0,00:00:00,71.0,87.0,00:00:00,780:01:28,21.0,25,00:00:00,66.0,75,00:00:00,72.0,75,00:00:00,10.0,10,00:00:00,10.0,10,780:01:28,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,780:01:28,10.0,10,00:00:00
A14883274,TH,JR,98.0,100.0,00:00:00,52.0,100.0,00:00:00,53.0,85.0,00:00:00,73.0,100.0,00:00:00,11.0,15.0,00:00:00,77.0,100.0,00:00:00,70.0,70.0,00:00:00,10.0,10.0,00:00:00,44.0,47.0,00:00:00,85.0,85.0,645:24:50,9.0,10.0,00:00:00,89.0,100.0,00:00:00,64.0,75.0,00:00:00,25.0,25.0,00:00:00,94.0,100.0,00:00:00,43.0,50.0,00:00:00,0.0,10.0,00:00:00,88.0,100.0,00:00:00,68.0,87.0,00:00:00,669:12:21,16.0,25,00:00:00,50.0,75,00:00:00,56.0,75,669:12:21,7.0,10,00:00:00,7.0,10,669:12:21,8.0,10,00:00:00,7.0,10,669:12:21,7.0,10,00:00:00,8.0,10,00:00:00,7.0,10,669:12:21,7.0,10,00:00:00,7.0,10,00:00:00,8.0,10,00:00:00
A14164800,SI,SR,86.0,100.0,00:00:00,45.0,100.0,00:00:00,44.0,85.0,00:00:00,40.0,100.0,00:00:00,14.0,15.0,00:00:00,73.0,100.0,00:00:00,63.0,70.0,00:00:00,5.0,10.0,00:00:00,37.0,47.0,00:00:00,73.0,85.0,764:40:45,7.0,10.0,00:00:00,72.0,100.0,00:04:51,63.0,75.0,00:00:00,25.0,25.0,00:00:00,71.0,100.0,00:00:00,38.0,50.0,00:00:00,6.0,10.0,00:00:00,75.0,100.0,00:00:00,73.0,87.0,00:00:00,828:47:53,14.0,25,00:00:00,41.0,75,764:40:45,47.0,75,00:00:00,6.0,10,00:00:00,7.0,10,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,7.0,10,00:00:00,7.0,10,00:00:00,7.0,10,00:00:00,6.0,10,00:04:51,6.0,10,00:00:00,7.0,10,00:00:00
A14847419,TH,JR,100.0,100.0,00:00:00,100.0,100.0,00:00:00,78.0,85.0,00:00:00,92.0,100.0,00:00:00,15.0,15.0,00:00:00,91.0,100.0,00:00:00,62.0,70.0,00:00:00,4.0,10.0,00:00:00,44.0,47.0,00:00:00,57.0,85.0,00:00:00,2.0,10.0,00:00:00,100.0,100.0,00:00:00,69.0,75.0,00:00:00,25.0,25.0,00:00:00,95.0,100.0,00:00:00,39.0,50.0,00:00:00,0.0,10.0,00:00:00,94.0,100.0,00:00:00,75.0,87.0,00:00:00,120:01:11,23.0,25,00:00:00,73.0,75,00:00:00,75.0,75,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
A14162943,SI,JR,66.0,100.0,00:00:00,33.0,100.0,00:00:00,42.0,85.0,00:00:00,69.0,100.0,00:00:00,13.0,15.0,00:00:00,81.0,100.0,47:42:33,45.0,70.0,00:00:00,0.0,10.0,00:00:00,18.0,47.0,00:00:00,63.0,85.0,00:00:00,2.0,10.0,00:00:00,60.0,100.0,00:00:00,71.0,75.0,00:00:00,24.0,25.0,00:00:00,36.0,100.0,00:00:00,50.0,50.0,00:00:00,0.0,10.0,00:00:00,90.0,100.0,00:00:00,65.0,87.0,00:00:00,93:16:10,13.0,25,00:00:00,43.0,75,00:00:00,49.0,75,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,6.0,10,00:00:00,5.0,10,00:00:00,5.0,10,00:00:00,6.0,10,00:00:00
A14282114,RE,SR,91.0,100.0,00:00:00,100.0,100.0,00:00:00,70.0,85.0,00:00:00,100.0,100.0,00:00:00,15.0,15.0,00:00:00,97.0,100.0,00:00:00,70.0,70.0,00:00:00,0.0,10.0,00:00:00,44.0,47.0,00:00:00,78.0,85.0,00:00:00,10.0,10.0,00:00:00,91.0,100.0,00:00:00,64.0,75.0,00:00:00,25.0,25.0,00:00:00,100.0,100.0,00:00:00,43.0,50.0,00:00:00,0.0,10.0,00:00:00,100.0,100.0,00:00:00,77.0,87.0,00:00:00,00:00:00,20.0,25,00:00:00,66.0,75,00:00:00,72.0,75,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,10.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00
A14297403,MU,SR,96.0,100.0,00:00:00,47.0,100.0,00:00:00,54.0,85.0,00:00:00,74.0,100.0,00:00:00,12.0,15.0,00:00:00,84.0,100.0,46:35:38,61.0,70.0,00:00:00,,10.0,00:00:00,35.0,47.0,00:00:00,64.0,85.0,00:00:00,,10.0,00:00:00,49.0,100.0,00:00:00,69.0,75.0,00:00:00,16.0,25.0,00:00:00,64.0,100.0,00:00:00,27.0,50.0,00:00:00,0.0,10.0,00:00:00,92.0,100.0,00:00:00,83.0,87.0,00:00:00,46:35:38,17.0,25,00:00:00,53.0,75,00:00:00,59.0,75,00:00:00,8.0,10,00:00:00,7.0,10,46:35:38,8.0,10,00:00:00,8.0,10,00:00:00,8.0,10,00:00:00,8.0,10,46:35:38,7.0,10,00:00:00,8.0,10,00:00:00,7.0,10,46:35:38,8.0,10,00:00:00
A14369624,WA,JR,100.0,100.0,00:00:00,98.0,100.0,00:00:00,81.0,85.0,00:00:00,97.0,100.0,00:00:00,13.0,15.0,00:00:00,100.0,100.0,04:09:52,68.0,70.0,00:00:00,10.0,10.0,00:00:00,43.0,47.0,00:00:00,81.0,85.0,00:00:00,5.0,10.0,00:00:00,91.0,100.0,00:00:00,60.0,75.0,00:00:00,21.0,25.0,00:00:00,92.0,100.0,00:00:00,49.0,50.0,00:00:00,0.0,10.0,00:00:00,95.0,100.0,00:00:00,87.0,87.0,00:00:00,04:09:52,22.0,25,00:00:00,74.0,75,00:00:00,75.0,75,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,04:09:52,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
A14137484,FI,SR,90.0,100.0,00:00:00,100.0,100.0,00:00:00,66.0,85.0,00:00:00,99.0,100.0,00:00:00,9.0,15.0,00:00:00,97.0,100.0,42:06:36,70.0,70.0,00:00:00,10.0,10.0,00:00:00,32.0,47.0,00:00:00,81.0,85.0,362:42:24,10.0,10.0,00:00:00,86.0,100.0,00:00:00,67.0,75.0,00:00:00,24.0,25.0,00:00:00,62.0,100.0,00:00:00,50.0,50.0,00:00:00,8.0,10.0,00:00:00,93.0,100.0,00:00:00,81.0,87.0,00:00:00,534:39:53,19.0,25,00:00:00,61.0,75,00:00:00,67.0,75,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,8.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,00:00:00,9.0,10,42:06:36,9.0,10,00:00:00
A14353945,WA,JR,100.0,100.0,00:00:00,100.0,100.0,00:00:00,79.0,85.0,00:00:00,82.0,100.0,00:00:00,6.0,15.0,00:00:00,89.0,100.0,47:53:28,63.0,70.0,00:00:00,6.0,10.0,00:00:00,45.0,47.0,00:00:00,78.0,85.0,442:00:09,10.0,10.0,00:00:00,92.0,100.0,00:00:00,75.0,75.0,00:00:00,21.0,25.0,00:00:00,50.0,100.0,00:00:00,37.0,50.0,00:00:00,0.0,10.0,00:00:00,88.0,100.0,00:00:00,74.0,87.0,00:00:00,489:53:37,23.0,25,489:53:37,69.0,75,00:00:00,75.0,75,00:00:00,10.0,10,442:00:09,10.0,10,00:00:00,10.0,10,489:53:37,10.0,10,442:00:09,10.0,10,489:53:37,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
